Constituency,SN,Candidate,Party,Votes
Nippani,1,KAKASAHEB P. PATIL,Indian National Congress,44107
Nippani,2,RAJARAM URF RAJU POWAR,Janata Dal (Secular),611
Nippani,3,RAJESH BANAVANNA,Aam Aadmi Party,572
Nippani,4,JOLLE SHASHIKALA ANNASAHEB,Bharatiya Janata Party,73348
Nippani,5,UTTAM RAOSAHEB PATIL,Nationalist Congress Party,66056
Nippani,6,SHAKUNTALA ASHOK TELI,Kalyana Rajya Pragathi Paksha,646
Nippani,7,JAYARAM MIRAJKAR,Independent,371
Nippani,8,JITENDRA SUBHASH NERLE,Independent,289
Nippani,9,RAGHUNATH MALAKARI ARAGE,Independent,202
Nippani,10,SAMBHAJIDADA BAPUSO THORAVAT,Independent,291
Nippani,11,NOTA,None of the Above,919
Chikkodi-Sadalga,1,ARJUN BANDU MANE,Bahujan Samaj Party,1284
Chikkodi-Sadalga,2,GANESH PRAKASH HUKKERI,Indian National Congress,128349
Chikkodi-Sadalga,3,KATTI RAMESH VISHWANATH,Bharatiya Janata Party,49840
Chikkodi-Sadalga,4,SHRIKANT MUDAGOUD PATIL,Aam Aadmi Party,406
Chikkodi-Sadalga,5,SUHAS SADASHIVAPPA WALKE,Janata Dal (Secular),702
Chikkodi-Sadalga,6,APPASAHEB SHRIPATI KURANE,Indian Movement Party,167
Chikkodi-Sadalga,7,ISHWAR MARUTI GUDAJ,Bahujan Bharat Party,196
Chikkodi-Sadalga,8,KUMAR SAMBHAJI DONGARE,Karnataka Rashtra Samithi,147
Chikkodi-Sadalga,9,MANJUNATH BALU PARAGOUD,Karnataka Rajya Ryota Sangha,434
Chikkodi-Sadalga,10,DR. MILAN VITHAL KAMBLE,Independent,690
Chikkodi-Sadalga,11,MOHAN GURAPPA MOTANNAVAR,Independent,663
Chikkodi-Sadalga,12,NOTA,None of the Above,957
Athani,1,MAHESH. IRANGOUDA. KUMATHALLI.,Bharatiya Janata Party,55282
Athani,2,LAXMAN. SANGAPPA. SAVADI,Indian National Congress,131404
Athani,3,SHASHIKANT PADASALAGI,Janata Dal (Secular),1265
Athani,4,SAMPATHKUMAR.SHETTI,Aam Aadmi Party,292
Athani,5,BASAVARAJ. BHIMAPPA. BISANAKOPPA,Kalyana Rajya Pragathi Paksha,935
Athani,6,BHARATESH BUJABALI KUDARI,Uttama Prajaakeeya Party,224
Athani,7,SAGAR KUMBAR,Karnataka Rashtra Samithi,76
Athani,8,SANJEEV HARISHCHANDRA KAMBLE,Azad Mazdoor Kissan Party,90
Athani,9,JYOTIBA BAVUSAB JADHAV,Independent,157
Athani,10,PAIGAMBAR GUDUSAB KOTTALAGI,Independent,104
Athani,11,RAVI SHIVAPPA PADASALAGI,Independent,110
Athani,12,DAVARI RAJU. PARASHURAM,Independent,250
Athani,13,RAJESH. BABU. SHINGE,Independent,1053
Athani,14,NOTA,None of the Above,1037
Kagwad,1,BHARAMGOUDA ALAGOUDA KAGE,Indian National Congress,83387
Kagwad,2,MALLIKARJUN SHRISHAIL GUNJIGANVI,Janata Dal (Secular),887
Kagwad,3,RAJAK DASTAGEERSAHEB MULLA,Aam Aadmi Party,330
Kagwad,4,SHRIMANT BALASAHEB PATIL,Bharatiya Janata Party,74560
Kagwad,5,SANJAY SHANKAR KAMBALE,Bahujan Samaj Party,632
Kagwad,6,VINOD SUKHADEV NANGARE,Karnataka Rashtra Samithi,113
Kagwad,7,SATISH BHUPAL SANADI,Rashtriya Samaj Paksha,72
Kagwad,8,HANAMANT BAHUSAB PATIL,Uttama Prajaakeeya Party,275
Kagwad,9,CHIDANAND KRISHNA CHAVAN,Independent,350
Kagwad,10,SATTEPPA DASHARATH KALELI,Independent,259
Kagwad,11,SADANAND B MAGADUM,Independent,228
Kagwad,12,NOTA,None of the Above,985
Kudachi,1,ANAND. V. MALAGI,Janata Dal (Secular),1566
Kudachi,2,KADROLLI CHANDRAKANT,Bahujan Samaj Party,369
Kudachi,3,MAHENDRA. KALLAPPA. TAMMANNAVAR,Indian National Congress,85321
Kudachi,4,P. RAJEEV,Bharatiya Janata Party,60078
Kudachi,5,C M KRISHNA,Dr. Ambedkar People's Party,609
Kudachi,6,SHREESHAIL. H. BHAJANTRI,Kalyana Rajya Pragathi Paksha,1240
Kudachi,7,YALLAPPA YAMANAPPA SHINGE,Independent,214
Kudachi,8,NOTA,None of the Above,643
Raybag,1,AIHOLE DURYODHAN MAHALINGAPPA,Bharatiya Janata Party,57500
Raybag,2,PRADEEPKUMAR R MALAGI,Janata Dal (Secular),25393
Raybag,3,MAHAVEER LAXMAN MOHITE,Indian National Congress,22685
Raybag,4,SHANKAR SUBRAV KHATEDAR,Aam Aadmi Party,1057
Raybag,5,BASAVARAJ NASALAPURE,Bharatiya Rashtravadi Paksha,245
Raybag,6,ASHOK NEELAPPA DANDINAVAR,Independent,291
Raybag,7,BASAVANNI PUNDALIK DODDALING,Independent,320
Raybag,8,BHIMSEEN DATTU SANADI,Independent,288
Raybag,9,YAMANAPPA HANAMANTH KUDARI,Independent,719
Raybag,10,SHAMBHU KALLOLIKAR,Independent,54930
Raybag,11,NOTA,None of the Above,1860
Hukkeri,1,A.B.PATIL,Indian National Congress,61023
Hukkeri,2,KATTI NIKHIL UMESH,Bharatiya Janata Party,103574
Hukkeri,3,KAMBLE BASAVARAJ KADAPPA,Bahujan Samaj Party,624
Hukkeri,4,BASAVARAJ MALAGOUDA PATIL,Janata Dal (Secular),401
Hukkeri,5,MANJUNATH.B.GADDENNAVAR,Aam Aadmi Party,189
Hukkeri,6,GHATIGEPPA MALLAPPA MAGADUM,Bahujan Bharat Party,170
Hukkeri,7,PUNDALIK KEMPANNA KULLUR,Independent,754
Hukkeri,8,NOTA,None of the Above,1168
Arabhavi,1,ARVIND MAHADEVARAO DALWAI,Indian National Congress,23956
Arabhavi,2,IJAJAHMAD I KOTTALAGI,Aam Aadmi Party,454
Arabhavi,3,PRAKASH RAMAPPA KALASHETTI,Janata Dal (Secular),1217
Arabhavi,4,BASAVANTH IRAPPA VADER,Bahujan Samaj Party,704
Arabhavi,5,BALACHANDRA LAXMANRAO JARKIHOLI,Bharatiya Janata Party,115402
Arabhavi,6,GULAPPA BASALINGAPPA METI,Swayam Krushi Party,698
Arabhavi,7,SHIVANAND VENKATARAO DESAI,Karnataka Rashtra Samithi,273
Arabhavi,8,ASHOK PANDAPPA HANAJI,Independent,311
Arabhavi,9,GURUPUTRA KEMPANNA KULLUR,Independent,485
Arabhavi,10,BASAPPA SHIVAPPA NAGANUR,Independent,919
Arabhavi,11,BHIMAPPA GUNDAPPA GADAD,Independent,43862
Arabhavi,12,SIDDAPPA YALLAPPA HOSUR,Independent,556
Arabhavi,13,SUDHA ALLAMPRABHU HIREMATH,Independent,338
Arabhavi,14,NOTA,None of the Above,930
Gokak,1,J. M. KAREPPAGOL,Aam Aadmi Party,779
Gokak,2,KADADI MAHANTESH KALLAPPA,Indian National Congress,79901
Gokak,3,JARKIHOLI RAMESH LAXMANRAO,Bharatiya Janata Party,105313
Gokak,4,B. LOHIT,Bahujan Samaj Party,748
Gokak,5,JAGADEESH C. K.,Socialist Party (India),162
Gokak,6,SURESH PATTANSHETTI,Uttama Prajaakeeya Party,348
Gokak,7,HANAMANTH SHIVAPPA NAGANUR,Swayam Krushi Party,243
Gokak,8,PUNDALIK KEMPANNA KULLUR,Independent,295
Gokak,9,BHIMASHI NAIK,Independent,966
Gokak,10,SURESH BASAPPA MARALINGANNAVAR,Independent,575
Gokak,11,NOTA,None of the Above,1060
Yemkanmardi,1,BASAVARAJ HUNDRI,Bharatiya Janata Party,43079
Yemkanmardi,2,ASTAGI MARUTI MALLAPPA,Janata Dal (Secular),19567
Yemkanmardi,3,SATISH LAXMANARAO JARKIHOLI,Indian National Congress,100290
Yemkanmardi,4,MARUTI TIPPANNA NAIK,Independent,2052
Yemkanmardi,5,SHIVANAND LAXMAN SAMMAKKANAVAR,Independent,462
Yemkanmardi,6,NOTA,None of the Above,996
Belgaum Uttar,1,Asif (Raju) Sait,Indian National Congress,69184
Belgaum Uttar,2,DR. RAVI B. PATIL,Bharatiya Janata Party,64953
Belgaum Uttar,3,Rajkumar Topannavar,Aam Aadmi Party,542
Belgaum Uttar,4,Shivanand M Mugalihal,Janata Dal (Secular),527
Belgaum Uttar,5,Dilashad W/o Sikandar Tashiladar,Republican Party of India,91
Belgaum Uttar,6,Praveen Basavaraj Hiremath,Kalyana Rajya Pragathi Paksha,124
Belgaum Uttar,7,Basavaraj Muragesh Jarali,Karnataka Rashtra Samithi,90
Belgaum Uttar,8,Mallappa C. Chougala,Uttama Prajaakeeya Party,207
Belgaum Uttar,9,Amar Kisan Yallurakar,Independent,11743
Belgaum Uttar,10,Ashok Basavant Govekar,Independent,150
Belgaum Uttar,11,Kashiram Bishan Chavhan,Independent,61
Belgaum Uttar,12,Nagesh Divate,Independent,177
Belgaum Uttar,13,Magdum Ismailmagdum,Independent,66
Belgaum Uttar,14,Vishal Gayakwad,Independent,108
Belgaum Uttar,15,Shrinivas Suresh Talawar,Independent,294
Belgaum Uttar,16,NOTA,None of the Above,1161
Belgaum Dakshin,1,ABHAY PATIL,Bharatiya Janata Party,77094
Belgaum Dakshin,2,NOORAHMMAD KUTUBUDDIN MULLA,Aam Aadmi Party,511
Belgaum Dakshin,3,PRABHAVATI BASAVARAJ MASTMARDI,Indian National Congress,13015
Belgaum Dakshin,4,SHRINIVAS YALLAPPA TALUKAR,Janata Dal (Secular),952
Belgaum Dakshin,5,HANAMANTH MALLAPPA MADIVALAR URPA HULAGERI,Karnataka Rashtra Samithi,160
Belgaum Dakshin,6,BHARAT GOTI,Independent,375
Belgaum Dakshin,7,RAMAKANT KONDUSKAR,Independent,64786
Belgaum Dakshin,8,SANTOSH SIDDAPPA KEMP,Independent,619
Belgaum Dakshin,9,NOTA,None of the Above,1599
Belgaum Rural,1,Nagesh Annappa Manolkar,Bharatiya Janata Party,51603
Belgaum Rural,2,T. Malathi,Aam Aadmi Party,436
Belgaum Rural,3,Yamanappa Gangappa Talawar,Bahujan Samaj Party,369
Belgaum Rural,4,Laxmi R. Hebbalkar,Indian National Congress,107619
Belgaum Rural,5,Shankaragowda Patil,Janata Dal (Secular),738
Belgaum Rural,6,Ganesh Prakash Singannavar,Republican Party of India (A),156
Belgaum Rural,7,Shakuntala A Iliger,Karnataka Rashtra Samithi,110
Belgaum Rural,8,Basavaraj Kallappa Kuddemmi,Independent,154
Belgaum Rural,9,Ravikumar David Panditi,Independent,265
Belgaum Rural,10,R. M. Chougule,Independent,41500
Belgaum Rural,11,Rupesh Gurunath Kadu,Independent,229
Belgaum Rural,12,Sanjeev Pranesh Ganachari,Independent,218
Belgaum Rural,13,NOTA,None of the Above,1165
Khanapur,1,Dr. Anjali Hemant Nimbalkar,Indian National Congress,37205
Khanapur,2,BAGAWAN NASIR PAPULSAB,Janata Dal (Secular),15600
Khanapur,3,Vithal Somanna Halagekar,Bharatiya Janata Party,91834
Khanapur,4,Krishnaji Pundalik Patil,ShivSena (Uddhav Balasaheb Thackeray),983
Khanapur,5,Ramesh Bhimappa Mannuddar,Karnataka Rashtra Samithi,275
Khanapur,6,Raju Pujari,Kalyana Rajya Pragathi Paksha,178
Khanapur,7,Irfanahmed Talikoti,Independent,732
Khanapur,8,Muralidhar Ganapati Patil,Independent,9671
Khanapur,9,Yallappa Fakirapa Kolakar,Independent,412
Khanapur,10,R B Patil,Independent,646
Khanapur,11,Laxman Yallappa Bannar,Independent,357
Khanapur,12,Sitaram Maruti Sutar,Independent,1382
Khanapur,13,Suresh Laxman Patil,Independent,502
Khanapur,14,NOTA,None of the Above,1236
Kittur,1,ASHWINI SINGAYYA PUJER,Janata Dal (Secular),775
Kittur,2,ANAND HAMPANNAVAR,Aam Aadmi Party,395
Kittur,3,BABASAHEB PATIL,Indian National Congress,77536
Kittur,4,DODDAGOUDAR MAHANTESH BASAVANTARAY,Bharatiya Janata Party,74543
Kittur,5,CHETAN. R. DEMATTI,Karnataka Makkala Paksha,564
Kittur,6,PRAVEEN. MAHABALESHWAR. DEGALOLLI,Uttama Prajaakeeya Party,483
Kittur,7,BUDAYYA PUJERI,Karunaadu Party,264
Kittur,8,MAHESH FAKIRAPPA HOSAMANI,Karnataka Rashtra Samithi,462
Kittur,9,BASAPPA (BASAVARAJ) Y KELAGADE,Independent,548
Kittur,10,BHIMASHEPPA. DEMAPPA. DURGANNAVAR,Independent,288
Kittur,11,NOTA,None of the Above,802
Bailhongal,1,JAGDISH CHANNAPPA METGUD,Bharatiya Janata Party,55630
Bailhongal,2,BASANAGOUDA. M. CHIKKANAGOUDAR,Aam Aadmi Party,970
Bailhongal,3,KOUJALAGI. MAHANTESH. SHIVANAND.,Indian National Congress,58408
Bailhongal,4,SHANKAR. BHARAMAPPA. MADALAGI.,Janata Dal (Secular),9427
Bailhongal,5,IRFAN BAGEWADI,Karnataka Rashtra Samithi,261
Bailhongal,6,DAYANAND GURPUTRYYA CHIKKAMATH,Indian Movement Party,205
Bailhongal,7,PRASHANT. RUDRAPPA. JAKKAPPANAVAR,Kalyana Rajya Pragathi Paksha,531
Bailhongal,8,RUDRAPPA MALAGI,Uttama Prajaakeeya Party,785
Bailhongal,9,DR. VISHWANATH I. PATIL,Independent,25060
Bailhongal,10,NOTA,None of the Above,1319
Saundatti Yellamma,1,BAPUGOUDA SIDDANAGOUDA PATIL,Aam Aadmi Party,1596
Saundatti Yellamma,2,MAMANI RATNA ANAND @ VISHWANATH,Bharatiya Janata Party,56529
Saundatti Yellamma,3,VISHWAS VASANT VAIDYA,Indian National Congress,71224
Saundatti Yellamma,4,CHOPRA SAURAV ANAND,Janata Dal (Secular),30857
Saundatti Yellamma,5,ANTAKKANAVAR PARAPPA SHANKAREPPA,Karnataka Rashtra Samithi,487
Saundatti Yellamma,6,MALLIKARJUN CHANNAPPA MELAGIRI,Karnataka Makkala Paksha,180
Saundatti Yellamma,7,ANAND IRAYYA KANTIMATH,Independent,357
Saundatti Yellamma,8,KARALAKATTI NAGAPPA HANAMAPPA,Independent,453
Saundatti Yellamma,9,MALLIKARJUN GANGAPPA MUDENUR,Independent,629
Saundatti Yellamma,10,SADANAND UPPAR,Independent,419
Saundatti Yellamma,11,NOTA,None of the Above,586
Ramdurg,1,ASHOK MAHADEVAPPA PATTAN,Indian National Congress,80294
Ramdurg,2,CHIKKAREVANNA,Bharatiya Janata Party,68564
Ramdurg,3,PRAKASH BHIRAPPA MUDHOL,Janata Dal (Secular),1105
Ramdurg,4,MALIKAJAN NADAF,Aam Aadmi Party,250
Ramdurg,5,SUNANDA NINGBASAPPA HADPADA,Bahujan Samaj Party,124
Ramdurg,6,BASAPPA GURUSIDDAPPA KUMBAR,Karnataka Rashtra Samithi,137
Ramdurg,7,ISHWAR NAGAPPA CHIKKANARAGUND,Independent,61
Ramdurg,8,ISHWARGOUDA SHIVASHANKARGOUDA PATIL,Independent,115
Ramdurg,9,GIRISH BHIMAPPA MUNAVALLI,Independent,117
Ramdurg,10,GURUSIDDAPPA BASALINGAPPA TOGGI,Independent,144
Ramdurg,11,DADAPEER FAKIRSAB BIKAJI,Independent,182
Ramdurg,12,MADHURA SUDHIR SIDDANKOLLA,Independent,306
Ramdurg,13,Shivappa Basappa Bakadi,Independent,984
Ramdurg,14,NOTA,None of the Above,1646
Mudhol,1,GANESH PARASHURAM PAWAR,Aam Aadmi Party,615
Mudhol,2,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,59963
Mudhol,3,DHARMRAJ VITTAL DODAMANI,Janata Dal (Secular),678
Mudhol,4,TIMMAPUR. RAMAPPA. BALAPPA.,Indian National Congress,77298
Mudhol,5,MADEV. GURAPPA. METHRI,Republican Party of India (A),761
Mudhol,6,MUTTAPPA. SIDARAM. MARANUR,Karnataka Rashtra Samithi,361
Mudhol,7,SAGAR RODDAPPANAVAR.,Karnataka Jantha Paksha,284
Mudhol,8,BANDIWADDAR SATISH CHINNAPPA.,Independent,17902
Mudhol,9,NOTA,None of the Above,905
Terdal,1,ARJUN HALAGIGOUDAR.,Aam Aadmi Party,1742
Terdal,2,SIDDU SAVADI,Bharatiya Janata Party,77265
Terdal,3,SIDDU.RAMAPPA.KONNUR.,Indian National Congress,66520
Terdal,4,SURESH ARJUN MADIWALAR,Janata Dal (Secular),842
Terdal,5,ABBASALI MULLA,Republican Party of India (A),133
Terdal,6,DHAREPPA DAKAPPA DANAGOUD,Karnataka Rashtra Samithi,143
Terdal,7,YAMANAPPA VITTHAL GUNADAL,Social Democratic Party Of India,3527
Terdal,8,ADIVEPPA UDDAPPA UDDAPPAGOL,Independent,210
Terdal,9,AMBADAS KAMURTHI,Independent,4224
Terdal,10,"DR. PADMAJEET, A. NADAGOUDA PATIL",Independent,22480
Terdal,11,"HYAGADI, MAHALINGAPPA, SHIVANAND",Independent,899
Terdal,12,SANTHOSH.BASAPPA.HANAGANDI,Independent,782
Terdal,13,NOTA,None of the Above,894
Jamkhandi,1,ANAND SIDDU NYAMAGOUDA,Indian National Congress,77221
Jamkhandi,2,JAGADEESH SHIVAYYA GUDAGUNTI,Bharatiya Janata Party,81937
Jamkhandi,3,YAKUB. KAPADEWALE,Janata Dal (Secular),495
Jamkhandi,4,SHIVANAND BABALESHWAR,Bahujan Samaj Party,172
Jamkhandi,5,ANTHOSH SHANKAR SAVVASE,Uttama Prajaakeeya Party,179
Jamkhandi,6,SURESH. BHUTALEPPA. HANCHINAL,Karnataka Rashtra Samithi,124
Jamkhandi,7,ZARE HASANALI,Kalyana Rajya Pragathi Paksha,147
Jamkhandi,8,KAMARUDDIN. B. MURSAL,Independent,73
Jamkhandi,9,GUDUSAB. IBRAHIMSAB HYALAKAR,Independent,184
Jamkhandi,10,RAVI SHIVAPPA PADASALAGI,Independent,197
Jamkhandi,11,BELAGALI SUSHILKUMAR,Independent,5975
Jamkhandi,12,NOTA,None of the Above,984
Bilgi,1,J. T. PATIL.,Indian National Congress,95652
Bilgi,2,KOMAR MUTTAPPA.,Aam Aadmi Party,766
Bilgi,3,NIRANI MURAGESH RUDRAPPA,Bharatiya Janata Party,84523
Bilgi,4,RUKMUDDIN SOUDAGAR,Janata Dal (Secular),776
Bilgi,5,NARASIMHA M RAYKAR,Uttama Prajaakeeya Party,398
Bilgi,6,BASALINGAYYA RAJASHEKHARAYYA HOMBALIMATH,Karnataka Rashtra Samithi,82
Bilgi,7,RAJAKUMAR TIMMANNA NYAMAGOUD,Kalyana Rajya Pragathi Paksha,181
Bilgi,8,KRISHNA KALE,Independent,212
Bilgi,9,YALLAPPA HEGADYAR @ HEGADE,Independent,670
Bilgi,10,DR|| L. C. PATIL,Independent,248
Bilgi,11,NOTA,None of the Above,1329
Badami,1,B.B.CHIMMANAKATTI,Indian National Congress,65845
Badami,2,SHANTHAGOUDA THIRTHGOUDA PATIL.,Bharatiya Janata Party,56120
Badami,3,JOGIN. SHIVARAYAPPA . DODDAKARIYAPPA .,Aam Aadmi Party,1650
Badami,4,HANAMANT. B. MAVINAMARAD,Janata Dal (Secular),41572
Badami,5,ANAND LAXMAN WADDAR,Karnataka Rashtra Samithi,782
Badami,6,BHIMAPPA. FAKEERAPPA. TALAWAR,Independent,989
Badami,7,KATANNAVAR. HANAMAPPA MANAPPA,Independent,601
Badami,8,NOTA,None of the Above,1479
Bagalkot,1,DEVARAJ H. PATIL,Janata Dal (Secular),3470
Bagalkot,2,METI. HULLAPPA. YAMANAPPA,Indian National Congress,79336
Bagalkot,3,RAMESH R BADNUR,Aam Aadmi Party,1007
Bagalkot,4,VEERABHADRAYYA (VEERANNA) CHARANTIMATH,Bharatiya Janata Party,73458
Bagalkot,5,PRAKASH. SARANAYAK.,Karnataka Jantha Paksha,366
Bagalkot,6,R.D.BABU,Karnataka Rashtra Samithi,184
Bagalkot,7,MUTTAPPA. MUDAKAPPA HIREKUMBI,Raita Bharat Party,135
Bagalkot,8,NAGARAJ.S. KALLAKUTTAGAR,Independent,235
Bagalkot,9,PRASHANT. SHARANAPPA. RAO,Independent,347
Bagalkot,10,M.S.HIREMATH,Independent,480
Bagalkot,11,CHARANTIMATH. MALLIKARJUN. CHANDRASHEKHARAYYA.,Independent,10116
Bagalkot,12,NOTA,None of the Above,1236
Hungund,1,DODDANAGOUDA G PATIL,Bharatiya Janata Party,48427
Hungund,2,NAGARAJ HONGAL,Aam Aadmi Party,514
Hungund,3,KASHAPPANAVARA VIJAYANAND SHIVASHANKRAPPA,Indian National Congress,78434
Hungund,4,BOLI SHIVAPPA MAHADEVAPPA,Janata Dal (Secular),759
Hungund,5,DESAYAGOUDA. MALLANAGOUDA. GOUDAR,Karnataka Rashtra Samithi,302
Hungund,6,NAVALI HIREMATH. S. R.,Kalyana Rajya Pragathi Paksha,33790
Hungund,7,AKKI CHARALINGAPPA KOTRAPPA,Independent,384
Hungund,8,BASANAGOUDA HANAMAGOUDA HIREGOUDAR,Independent,320
Hungund,9,MALAPPA SABANNA RAMAWADAGI,Independent,271
Hungund,10,SHIVANAGOUDA MENASAGI,Independent,793
Hungund,11,SIDDAPPA. NINGAPPA. TUDUBINAL,Independent,314
Hungund,12,NOTA,None of the Above,1053
Muddebihal,1,APPAJI. ALIYAS. CHANNABASAVARAJ. S/O SHANKARAO. NADAGOUDA.,Indian National Congress,79483
Muddebihal,2,A. S. PATIL (NADAHALLI),Bharatiya Janata Party,71846
Muddebihal,3,K. B. DODAMANI VAKEELARU,Bahujan Samaj Party,725
Muddebihal,4,BASAVARAJ BHIMANNA BHAJENTRI,Janata Dal (Secular),533
Muddebihal,5,MAHBOOB. SHABBIRAHMED HADALAGERI.,Aam Aadmi Party,231
Muddebihal,6,JAKEER HUSEN. USMANSAB LAHORI,Bharatiya Praja Aikyata Party,147
Muddebihal,7,DEEPA MAHANTAPPA MANUR,Karnataka Rashtra Samithi,234
Muddebihal,8,RAMANAGOUDA S BALAWAD,Rashtriya Jansambhavna Party,588
Muddebihal,9,NOTA,None of the Above,1234
Devar Hippargi,1,BASALINGAPPA URF BASALINGAPPAGOUDA S/o BASAVANTARAY INGALAGI,Aam Aadmi Party,1787
Devar Hippargi,2,BHIMANAGOUDA (RAJUGOUDA) BASANAGOUDA PATIL,Janata Dal (Secular),65952
Devar Hippargi,3,RAJU MADAR (GUBBEWAD),Bahujan Samaj Party,779
Devar Hippargi,4,SUNAGAR SHARANAPPA TIPPANNA,Indian National Congress,33673
Devar Hippargi,5,SOMANAGOUDA B. PATIL (SASANUR),Bharatiya Janata Party,45777
Devar Hippargi,6,GURUSHANTAVEERASWAMIJI HIREMATH ITAGI,Karnataka Janaseve Party,439
Devar Hippargi,7,BEVINAKATTI. GAIBAPPA. BHIMAPPA.,Republican Party of India Bharatha,216
Devar Hippargi,8,MANASOORBAB NABISAHEB BILAGI,Nationalist Congress Party,129
Devar Hippargi,9,SHIVANAND YADAHALLI (KONDAGULI),Karnataka Rashtra Samithi,198
Devar Hippargi,10,DUNDASI. ABDULRAHIMAN. MAHAMMADAHANIP.,Independent,218
Devar Hippargi,11,KEMPEGOUDA IRANAGOUDA KESHAPPAGOL,Independent,297
Devar Hippargi,12,BHIMANAGOUDA BASANAGOUDA PATIL,Independent,1044
Devar Hippargi,13,SHRISHAIL RUDRAPPA KAKKALAMELI,Independent,779
Devar Hippargi,14,NOTA,None of the Above,695
Basavana  Bagevadi,1,GURUBASAPPA. BASAPPA. DHAVALAGI,Bahujan Samaj Party,774
Basavana  Bagevadi,2,SHIVANAND PATIL,Indian National Congress,68126
Basavana  Bagevadi,3,APPUGOUDA. URF SOMANAGOUDA. BASANAGOUDA PATIL,Janata Dal (Secular),40197
Basavana  Bagevadi,4,BELLUBBI SANGAPPA KALLAPPA,Bharatiya Janata Party,43263
Basavana  Bagevadi,5,ALLAHBAKSH BIJAPUR,All India Majlis-E-Ittehadul Muslimeen,1475
Basavana  Bagevadi,6,ZAMEER AHMMED INAMADAR,Nationalist Congress Party,140
Basavana  Bagevadi,7,NARAYAN NEELAKANT RATHOD,Kalyana Rajya Pragathi Paksha,282
Basavana  Bagevadi,8,PRAVEENKUMAR RAYAGOND(MUTTAGI),Karnataka Rashtra Samithi,303
Basavana  Bagevadi,9,VIDYA BIRADAR,Aihra National Party,146
Basavana  Bagevadi,10,AWATI SHANKREPPA KASHINATH,Uttama Prajaakeeya Party,359
Basavana  Bagevadi,11,RAJESHWARI RAJASHEKHAR YARANAL,Independent,746
Basavana  Bagevadi,12,LAXMIMBAI S.G. PATIL,Independent,1050
Basavana  Bagevadi,13,SANGAPPA CHANDU LAMANI,Independent,747
Basavana  Bagevadi,14,NOTA,None of the Above,838
Babaleshwar,1,GANGANALLI KAMANNA SIDDAPPA,Aam Aadmi Party,526
Babaleshwar,2,BASAVARAJ HONAWAD,Janata Dal (Secular),1304
Babaleshwar,3,M B PATIL.,Indian National Congress,93923
Babaleshwar,4,MEHABOOB MALABODI,Bahujan Samaj Party,915
Babaleshwar,5,VIJAYAKUMAR (VIJAYAGOUDA) PATIL,Bharatiya Janata Party,78707
Babaleshwar,6,RAVICHANDRA TAMMANNA DOMBALI,Rashtriya Samaj Paksha,417
Babaleshwar,7,S M GANJI (UPPAR),Uttama Prajaakeeya Party,172
Babaleshwar,8,SUNIL RATHOD,Karnataka Rashtra Samithi,121
Babaleshwar,9,DUNDASI ABDULRAHIMAN MAHAMMADHANIF,Independent,91
Babaleshwar,10,JYOTIBA SALUNKE,Independent,212
Babaleshwar,11,TALEWAD PATIL,Independent,566
Babaleshwar,12,BHIRAPPA MALAPPA SODDI,Independent,398
Babaleshwar,13,MOTIRAM DARMU CHAVAN,Independent,955
Babaleshwar,14,MANJULA. KISHAN. CHAVAN,Independent,268
Babaleshwar,15,NOTA,None of the Above,611
Bijapur City,1,ABDUL HAMEED KHAJASAB MUSHARIF,Indian National Congress,85978
Bijapur City,2,BASANAGOUDA R PATIL (YATNAL),Bharatiya Janata Party,94211
Bijapur City,3,BANDENAWAZ HUSENASAB MAHABARI,Janata Dal (Secular),459
Bijapur City,4,KENGANAL MALLIKARJUN BHIMAPPA,Bahujan Samaj Party,213
Bijapur City,5,HASIMPEER I WALIKAR,Aam Aadmi Party,179
Bijapur City,6,MALLIKARJUN H T,Socialist Unity Centre Of India (COMMUNIST),49
Bijapur City,7,RAKESH H INGALAGI (HALAHALLI),Karnataka Rashtra Samithi,47
Bijapur City,8,SATISH ASHOK PATIL,Shiv Sena (Uddhav Balasaheb Thackeray),149
Bijapur City,9,IRAPPA KUMBAR,Independent,46
Bijapur City,10,KADECHUR KALLAPPA REVANASIDDAPPA,Independent,74
Bijapur City,11,CHANDRAGIRI HONNAD,Independent,54
Bijapur City,12,MOTIRAM DHARMU CHAVAN,Independent,118
Bijapur City,13,MODINASAB BANDAGISAB ANKALAGI,Independent,135
Bijapur City,14,RAJU YALLAPPA PAWAR,Independent,351
Bijapur City,15,NOTA,None of the Above,994
Nagthan,1,KALLAPPA TORAVI,Bahujan Samaj Party,954
Nagthan,2,GURU MUNNU CHAVAN,Aam Aadmi Party,2974
Nagthan,3,DEVANAND FULASING CHAVAN,Janata Dal (Secular),34114
Nagthan,4,KATAKADHOND VITTHAL DONDIBA,Indian National Congress,78990
Nagthan,5,SANJEEV MALASIDDAPPA AIHOLE,Bharatiya Janata Party,48175
Nagthan,6,KATAKADHOND KAVITA V. D.,Rani Chennamma Party,527
Nagthan,7,KULAPPA BHIMU CHAVAN,Nationalist Congress Party,360
Nagthan,8,BHARATI KALEBHAG,Sarvajanika Adarsha Sena,261
Nagthan,9,VIKRAM WAGHAMARE (JIGAJEVANI),Karnataka Rashtra Samithi,287
Nagthan,10,V. D. KATAKADHOND,Hindustan Janta Party,304
